name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Colombo, Western, Sri Lanka",2023-05-11,89.7,75.3,82.4,108.4,75.3,89.9,78.0,87.1,0.725,100.0,25.0,rain,0.0,0.0,27.7,15.0,206.9,1008.9,77.5,7.7,204.6,17.7,7.0,30.0,2023-05-11T05:54:36,2023-05-11T18:19:35,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-12,89.7,77.1,84.5,105.4,77.1,95.8,78.7,83.3,0.156,100.0,20.83,rain,0.0,0.0,29.3,18.3,224.2,1009.9,65.7,8.0,226.3,19.6,7.0,60.0,2023-05-12T05:54:26,2023-05-12T18:19:42,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-13,89.7,80.7,85.2,105.4,87.4,96.6,77.9,79.3,0.092,100.0,37.5,rain,0.0,0.0,29.8,16.1,228.2,1010.6,57.6,8.0,208.4,18.0,8.0,75.0,2023-05-13T05:54:16,2023-05-13T18:19:50,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-14,89.7,80.7,84.7,108.4,88.4,97.4,79.5,84.8,0.593,100.0,41.67,rain,0.0,0.0,25.5,17.2,226.2,1009.6,72.4,7.8,124.9,10.6,5.0,75.0,2023-05-14T05:54:08,2023-05-14T18:19:58,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-15,89.0,82.5,85.8,106.7,92.7,99.5,79.3,81.2,0.077,100.0,25.0,rain,0.0,0.0,22.1,13.9,236.6,1009.7,61.9,8.1,230.8,19.9,8.0,100.0,2023-05-15T05:54:00,2023-05-15T18:20:06,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-16,91.5,80.7,86.0,111.2,88.4,100.7,80.1,83.0,0.01,100.0,4.17,rain,0.0,0.0,19.7,9.2,241.6,1009.8,51.5,8.4,234.5,20.0,8.0,100.0,2023-05-16T05:53:53,2023-05-16T18:20:15,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-05-17,89.7,80.7,85.7,108.4,89.6,100.4,80.4,84.6,0.007,100.0,4.17,rain,0.0,0.0,19.5,12.8,220.8,1010.3,55.9,7.9,236.5,20.4,8.0,75.0,2023-05-17T05:53:46,2023-05-17T18:20:24,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-18,89.7,80.7,85.5,108.4,89.6,98.9,79.4,82.7,0.015,100.0,8.33,rain,0.0,0.0,19.7,13.9,209.2,1011.4,49.9,8.3,243.1,20.9,8.0,75.0,2023-05-18T05:53:40,2023-05-18T18:20:33,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-05-19,89.7,78.9,84.5,105.4,78.9,94.9,78.3,82.2,0.002,100.0,4.17,rain,0.0,0.0,22.6,15.0,207.0,1010.9,45.7,8.1,238.2,20.4,8.0,30.0,2023-05-19T05:53:35,2023-05-19T18:20:43,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-20,89.7,78.5,83.3,102.8,78.5,92.0,77.8,84.2,1.03,100.0,12.5,rain,0.0,0.0,20.6,17.2,205.1,1010.2,67.0,8.0,231.9,20.1,8.0,30.0,2023-05-20T05:53:31,2023-05-20T18:20:54,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
